,ECS
0,3.2126071462358365
1,2.1153486808632698
2,2.1336785488990375
3,1.8009107300681455
4,2.3770766169554047
5,5.3318837089708735
6,2.9028355282016607
7,4.224151510662355
8,2.49935289067037
9,3.1759540581926737
10,2.4119254260789775
11,1.856353740598209
12,4.440554267630387
13,3.496213228647074
14,3.3991828022826116
15,4.933202664271831
16,3.894840836197955
17,3.156597230730154
18,4.124040862027346
19,3.1294475374036774
20,2.0668606641713017
21,2.8433163921195104
22,2.674533268611785
23,2.4815045329985663
24,2.348558399701875
25,2.009731486747656
26,2.586732670686913
27,2.5017491528251297
28,3.1854585857649034
29,2.628215705498572
30,4.1064520480212705
31,3.8850190486195864
32,1.8484781968333022
33,3.0880184829179775
34,2.0887179984385797
35,3.4040949365170485
36,2.561111281607374
37,2.1541222168888017
38,2.667065926082084
39,2.7097994882532883
40,6.063336694415804
41,3.5387345731651934
42,2.5987613842265436
43,3.063493660565599
44,3.8558866291191007
45,3.1806010087802687
46,3.543969879656104
47,3.3868566246374825
48,3.9126773590423567
49,2.6975398615671504
50,2.0619393356571445
51,2.1730258513350997
52,3.7264660777007563
53,3.4284571954583196
54,2.620923684828176
55,3.7578207750883648
56,3.6997323829031203
57,3.8149105152664227
58,2.906261347567151
59,4.146446914749071
60,2.0617205767160756
61,5.401390390793665
62,2.307755105409497
63,4.533100261629277
64,4.692312596096686
65,2.6982049834408404
66,3.1937929993990934
67,2.521888866366713
68,2.706876540975061
69,2.498933751985218
70,1.7265184939777742
71,2.641874087531033
72,3.132799988668389
73,2.7832230840069467
74,3.277591677050605
75,2.0071649777577827
76,3.046725651810877
77,2.9364901478691765
78,2.532843988318386
79,2.266862246233761
80,3.810004939366689
81,2.9502192545715116
82,2.356516378691007
83,4.058058926634011
84,2.1779529916094322
85,2.973690628979231
86,4.082334691175653
87,2.768842217165399
88,2.7846461184580433
89,3.463151555494072
90,3.0796291206478497
91,3.7712234536083025
92,2.796116299165473
93,2.715432859818654
94,2.526517997187007
95,4.325390539279193
96,3.106148747371546
97,3.661284983382417
98,5.077494206316672
99,2.6968974585342917
100,5.619304785965751
101,6.794052009608593
102,4.441027295321049
103,3.3580490062217665
104,2.9339243515621534
105,3.1176527464320904
106,1.9966596592229937
107,2.6128895019039815
108,2.8530566622194544
109,3.6698514125926787
110,3.351246336817118
111,2.1156873526654936
112,2.2801978062715804
113,2.79878471960448
114,5.200732422789921
115,3.009397016696182
116,4.284976499319799
117,4.222637639453501
118,2.5018477171048787
119,2.1837071021440377
120,3.4773495106039585
121,2.4252213317125717
122,3.2201726645313267
123,3.038673576203922
124,4.232645692321685
125,2.2853632037119818
126,3.4464909840577223
127,3.5036314132352024
128,2.929023428562615
129,2.4713422301099084
130,2.856861434005564
131,3.8463643281011395
132,3.1225550736465646
133,3.257079350175792
134,3.0713681717377805
135,2.215133579521332
136,2.2934396957992274
137,3.2525046977899983
138,2.2830815501420734
139,2.0933948352650993
140,2.6353049183163524
141,3.164637394033016
142,3.013018435781197
143,3.3630734112816283
144,2.5613387942585883
145,2.346809373129351
146,10.251514616242781
147,4.2260123363237305
148,7.851842168138285
149,6.873844992504639
150,4.222180700611774
151,10.751786400244509
152,3.148362523280954
153,4.134870754237572
154,2.317031203002196
155,3.1102851850285553
156,4.661421491425218
157,3.067122314280711
158,2.782461692143165
159,2.2969519352071432
160,2.933985660915869
161,2.5002114486228595
162,2.517996634875465
163,2.0412977546056106
164,2.8907935083285152
165,2.997296842270134
